TEN,TUYEN,DAY,THU_TU,THOI_GIAN,MO_TA,LAT,LON
Trung tâm Hội chợ và Triển lãm Sài Gòn (SECC),Tuyến 1,Day 1,1,8:00 SA,Trung tâm triển lãm lớn nhất TP.HCM,10.730656,106.72134
GEM Center,Tuyến 1,Day 1,2,10:30 SA,Sự kiện - hội nghị cao cấp Q.1,10.7901412485,106.702372151
Sofitel Saigon Plaza Hotel,Tuyến 1,Day 1,3,1:00 CH,Khách sạn 5 sao trung tâm Q.1,10.7840846033,106.702571462
JW Marriott Hotel & Suites Saigon,Tuyến 1,Day 1,4,3:00 CH,"Khách sạn 5 sao, ballroom lớn",10.7809406513,106.700566327
Pullman Saigon Hotel,Tuyến 1,Day 1,5,5:00 CH,"Khách sạn 5 sao, hội nghị đầy đủ tiện nghi",10.7643284176,106.691671698
Trung tâm triển lãm Quốc tế WTC EXPO,Tuyến 2,Day 2,1,8:00 SA,Trung tâm triển lãm quốc tế Bình Dương,11.0567608235,106.686336382
Trung tâm Hội nghị và Triển lãm tỉnh Bình Dương (BCEC),Tuyến 2,Day 2,2,11:30 SA,Trung tâm hội nghị cấp tỉnh,11.0542039414,106.682249946
Khu du lịch Đại Nam,Tuyến 2,Day 2,3,1:30 CH,"Team building, khu du lịch tổng hợp",11.0413966834,106.630774712
Làng tre Phú An,Tuyến 2,Day 2,4,4:30 CH,"Trải nghiệm sinh thái, teambuilding xanh",11.0664676258,106.58469495
Aurora Event Center,Tuyến 3,Day 3,1,9:00 SA,Trung tâm sự kiện hiện đại Vũng Tàu,10.3509241705,107.099437857
The IMPERIAL Hotel,Tuyến 3,Day 3,2,11:30 SA,Khách sạn 5 sao ven biển,10.3439528975,107.094969791
Palace Hotel Vũng Tàu,Tuyến 3,Day 3,3,3:00 CH,Khách sạn 4 sao trung tâm Vũng Tàu,10.3430183316,107.075901436
Khu du lịch Hồ Mây,Tuyến 3,Day 3,4,5:00 CH,"Team building, cáp treo, vui chơi giải trí",10.359766769,107.069334063
InterContinental Grand Ho Tram,Tuyến 3,Day 3,5,9:00 SA (ngày 2),"Resort 5 sao biệt lập, casino, hội nghị cao cấp",10.4857826142,107.455442665
Khu du lịch Hồ Tràm,Tuyến 3,Day 3,6,2:00 CH (ngày 2),"Bãi biển tự nhiên, hoạt động biển",10.470375401,107.435759351
