TOUR,TITLE,SUBTITLE,THU_TU,GIO,BUOI,TEN,HOAT_DONG,LAT,LON
Tour 1,Hội nghị Chuyên nghiệp & Kết nối Trung tâm,"Dành cho đoàn khách doanh nghiệp tham dự hội nghị, hội thảo quốc tế tại trung tâm TP.HCM",1,08:30 – 10:30,Sáng,GEM Center,Hội nghị tại GEM Center,10.7901412485,106.702372151
Tour 1,Hội nghị Chuyên nghiệp & Kết nối Trung tâm,"Dành cho đoàn khách doanh nghiệp tham dự hội nghị, hội thảo quốc tế tại trung tâm TP.HCM",2,11:00 – 13:00,Trưa,GEM Center,Tiệc chiêu đãi và networking tại GEM Center,10.7901412485,106.702372151
Tour 1,Hội nghị Chuyên nghiệp & Kết nối Trung tâm,"Dành cho đoàn khách doanh nghiệp tham dự hội nghị, hội thảo quốc tế tại trung tâm TP.HCM",3,14:00 – 15:00,Chiều,Thảo Cầm viên Sài Gòn,Tham quan Thảo Cầm viên Sài Gòn,10.7873327657,106.705054987
Tour 1,Hội nghị Chuyên nghiệp & Kết nối Trung tâm,"Dành cho đoàn khách doanh nghiệp tham dự hội nghị, hội thảo quốc tế tại trung tâm TP.HCM",4,15:30 – 16:30,Chiều,Trung tâm Xúc tiến Du lịch TP.HCM,Check-in và tìm hiểu hoạt động xúc tiến du lịch,10.777229,106.684001
Tour 1,Hội nghị Chuyên nghiệp & Kết nối Trung tâm,"Dành cho đoàn khách doanh nghiệp tham dự hội nghị, hội thảo quốc tế tại trung tâm TP.HCM",5,18:00 – 20:00,Tối,JW Marriott Hotel & Suites Saigon,Giao lưu doanh nghiệp tại JW Marriott Hotel & Suites Saigon,10.7809406513,106.700566327
Tour 2,MICE Thông minh & Trải nghiệm Công nghiệp,Dành cho đoàn khách muốn khám phá hệ sinh thái đô thị thông minh và sản xuất tại Bình Dương,1,09:00 – 11:30,Sáng,Trung tâm Hội nghị và Triển lãm tỉnh Bình Dương (BCEC),Tham dự hội nghị tại BCEC,11.0542039414,106.682249946
Tour 2,MICE Thông minh & Trải nghiệm Công nghiệp,Dành cho đoàn khách muốn khám phá hệ sinh thái đô thị thông minh và sản xuất tại Bình Dương,2,11:30 – 13:00,Trưa,Trung tâm Hội nghị và Triển lãm tỉnh Bình Dương (BCEC),"Dùng bữa tại khu vực hội nghị BCEC và networking giữa doanh nghiệp, đối tác",11.0542039414,106.682249946
Tour 2,MICE Thông minh & Trải nghiệm Công nghiệp,Dành cho đoàn khách muốn khám phá hệ sinh thái đô thị thông minh và sản xuất tại Bình Dương,3,13:30 – 14:30,Chiều,Công viên Thành phố mới Bình Dương,"Tham quan, tìm hiểu mô hình đô thị thông minh, không gian công cộng và quy hoạch hiện đại",11.0488703112,106.674103925
Tour 2,MICE Thông minh & Trải nghiệm Công nghiệp,Dành cho đoàn khách muốn khám phá hệ sinh thái đô thị thông minh và sản xuất tại Bình Dương,4,15:00 – 16:30,Chiều,Khu Tưởng Niệm Di Tích Chiến Khu Vĩnh Lợi,"Tham quan, tìm hiểu lịch sử hình thành và phát triển của vùng đất Bình Dương",11.0973093316,106.723555829
Tour 3,Năng lượng Xanh & Gắn kết Đội ngũ,Phù hợp cho các chương trình khen thưởng (Incentive) và Team Building kết hợp nghỉ dưỡng,1,08:30 – 11:30,Sáng,Khu bảo tồn thiên nhiên Bình Châu – Phước Bửu,"Khám phá hệ sinh thái rừng ven biển đặc trưng, trải nghiệm thiên nhiên",10.6012087514,107.55924453
Tour 3,Năng lượng Xanh & Gắn kết Đội ngũ,Phù hợp cho các chương trình khen thưởng (Incentive) và Team Building kết hợp nghỉ dưỡng,2,11:30 – 13:00,Trưa,Khu du lịch suối nước nóng Bình Châu,Dùng bữa và trải nghiệm thư giãn tại Suối nước nóng Bình Châu,10.6012087514,107.55924453
Tour 3,Năng lượng Xanh & Gắn kết Đội ngũ,Phù hợp cho các chương trình khen thưởng (Incentive) và Team Building kết hợp nghỉ dưỡng,3,13:30 – 17:00,Chiều,InterContinental Grand Ho Tram,"Di chuyển đến InterContinental Grand Ho Tram, nghỉ ngơi và tự do trải nghiệm tiện ích resort",10.4857826142,107.455442665
Tour 3,Năng lượng Xanh & Gắn kết Đội ngũ,Phù hợp cho các chương trình khen thưởng (Incentive) và Team Building kết hợp nghỉ dưỡng,4,18:00 – 21:00,Tối,InterContinental Grand Ho Tram,"Gala Dinner kết hợp giao lưu, vinh danh và kết nối đội ngũ",10.4857826142,107.455442665
